Immatriculation,Sous activité,Genre
957 RY 88,Plateau dédié,PLAT
CL-766-KS,Benne TP,SREM
CC-947-SQ,Tautl.  ZC,SREM
CC-895-SQ,Tautl.  ZC,SREM
BF-133-LG,F.M.   ZC,SREM
BG-381-YG,F.M.   ZC,SREM
BW-722-HA,Benne TP,SREM
BW-758-HA,Benne ferraille,SREM
BS-330-PS,Frigo double poste,SREM
3282 SV 88,,BEN
3417 SK 39,,TAUT
6024 TC 88,,TAUT
CM-315-QA,F.M.   ZC,SREM
BZ-825-DK,Tautl.  ZL,SREM
BZ-365-DL,Tautl.  ZL,SREM
CF-915-SM,F.M.   ZC,SREM
CL-847-ES,Plateaux,SREM
CP-134-EN,Plateau dédié,PLAT
CN-145-EE,TAUT double poste,SREM
BV-103-TR,TAUT double poste,SREM
CN-043-KA,Plateaux,SREM
QA7806,Plateaux,SREM
BS-915-QW,Plateaux,SREM
AM-982-VA,Service général,TAUT
DL-205-YG,TAUT dédiée,TAUT
CY-868-YQ,TAUT dédiée,TAUT
BW-079-JD,Tautl.  ZC,SREM
6033 VF 88,Benne TP,SREM
AQ-809-YD,Benne TP,SREM
BW-004-CY,F.M.   ZL,SREM
BY-455-HG,Inconnue,SREM
CB-144-HG,Benne TP,SREM
CB-069-HG,Inconnue,SREM
CQ-391-NF,Tracteur Grue,SREM
3074 SV 62,Inconnue,PLSC
DH-423-RD,Navettes,SREM
BF-146-PS,F.M.   ZC,SREM
DD-342-NF,F.M.   ZC,FM
AX-990-PH,Benne TP,BEN
DD-101-BF,Tautl.  ZL,SREM
DD-224-BF,Tautl.  ZL,SREM
BQ-149-DX,Location externe,SREM
AM-563-VA,Inconnue,TAUT
BW-629-VQ,TAUT double poste,SREM
CK-892-TY,Plateaux,SREM
CL-705-HQ,Plateaux,SREM
DD-335-BF,Tautl.  ZL,SREM
DD-449-BF,Tautl.  ZL,SREM
DC-877-TZ,F.M.   ZC,SREM
DD-433-AR,F.M.   ZC,SREM
CE-700-HP,Benne ferraille,SREM
CE-750-HP,Benne ferraille,SREM
CE-810-HP,Benne ferraille,SREM
CE-034-HQ,Benne ferraille,SREM
CE-392-NG,TAUT dédiée,SREM
CH-790-FK,F.M.   ZC,SREM
DD-607-AR,F.M.   ZC,SREM
BX-195-ZL,Benne ferraille,SREM
PNT38104,Affectation SA,TRR
BX-120-ZL,TAUT dédiée,SREM
PNT38105,Affectation SA,TRR
DG-435-DA,TAUT dédiée,SREM
PNT38106,Affectation SA,TRR
BX-010-ZK,Navettes,SREM
BX-279-ZL,TAUT dédiée,SREM
BG-837-YF,F.M.   ZL,SREM
EB-719-GY,TAUT dédiée,SREM
CZ-394-VK,TAUT dédiée,SREM
3417 SK 39,,TAUT
MJ8978,F.M.   ZL,SREM
NV8207,F.M.   ZL,SREM
PN9137,Tracteur Grue,SREM
QA7807,Plateaux,SREM
PN9903,Plateaux,SREM
QA7801,Tracteur Grue,SREM
CH7131,F.M.   ZL,SREM
CE-575-YR,Inconnue,TAUT
DD-716-BR,Benne TP,BEN
CZ-789-LJ,Plateaux,SREM
CK-137-VY,Benne céréalière,SREM
DB-048-RT,Plateaux,SREM
7587 WE 51,Plateaux,SREM
BN-161-SW,TAUT dédiée,SREM
FX1419,F.M.   ZL,TRR
BV-344-TQ,Tautl.  ZC,SREM
BV-439-TQ,Tautl.  ZC,SREM
DJ-498-HZ,TAUT dédiée,SREM
CZ-339-VK,Plateaux,TAUT
CA-428-LL,Service général,REM
CP-875-GA,Tautl.  ZC,SREM
CK-728-KS,F.M.   ZC,SREM
CL-363-CD,F.M.   ZC,SREM
CL-554-CD,F.M.   ZC,SREM
CL-880-EX,F.M.   ZC,SREM
CL-005-EY,F.M.   ZC,SREM
DK-084-GT,Tautl.  ZL,TRR
CD-611-YF,Navettes,TAUT
CD-611-YG,Tautl.  ZL,TAUT
DB-913-RS,Plateau dédié,SREM
CT-091-FS,Plateau dédié,SREM
AN-254-TX,F.M.   ZL,SREM
AM-920-FP,F.M.   ZC,FM
DK-220-GT,Tautl.  ZL,TRR
BV-010-QF,Benne TP,BEN
BY-075-BE,Tautl.  ZC,SREM
BY-415-BF,Tautl.  ZC,SREM
BN-285-FH,F.M.   ZC,SREM
CH-174-EV,Navettes,SREM
CH-106-EV,Navettes,SREM
CT-158-FS,Plateaux,SREM
DP-827-FQ,Plateaux,SREM
BR-763-GC,Plateaux,SREM
AE-479-FN,Benne TP,SREM
DK-788-YS,Navettes,SREM
DK-788-YS,Navettes,SREM
CM-038-HJ,Benne TP,SREM
CN-568-JZ,Plateaux,PLAT
BM-524-MQ,Benne TP,SREM
AX-093-RP,,SREM
AR-410-WZ,,SREM
BV-957-QE,Tautl.  ZC,SREM
BV-456-FV,F.M.   ZC,SREM
CS-498-FF,F.M.   ZC,SREM
CL-662-ER,Benne TP,BEN
CB-093-VA,Tautl.  ZC,TAUT
CH-511-AN,Tautl.  ZC,SREM
CH-548-BP,F.M.   ZC,SREM
CQ-196-NR,F.M.   ZC,SREM
DA-746-CD,TAUT double poste,SREM
DA-532-CD,TAUT double poste,SREM
DT-531-MH,Tautl.  ZC,SREM
DK-788-YS,Navettes,SREM
DR-557-BN,Navettes,SREM
DQ-620-BM,Navettes,SREM
DA-955-CD,TAUT double poste,SREM
CX-153-TB,Benne ZL,BEN
3192 VQ 88,Service général,PC
CZ-804-LJ,Plateaux,TAUT
BE-171-GJ,Citerne pulvé double poste,SREM
DA-160-CE,TAUT double poste,SREM
DA-370-CE,TAUT double poste,SREM
DA-498-CE,TAUT double poste,SREM
BF-825-LF,F.M.   ZC,SREM
BR-934-PD,TAUT double poste,SREM
BR-997-PG,TAUT double poste,SREM
BR-943-PB,TAUT double poste,SREM
BQ-758-DX,F.M.   ZC,SREM
BQ-100-WL,TAUT dédiée,PLSC
AW-664-BM,TAUT dédiée,SREM
DP-585-FQ,Plateaux,SREM
DP-655-FQ,Plateaux,SREM
850 WS 51,Plateaux,SREM
7612 XE 51,Plateaux,SREM
DB-094-RT,Plateaux,SREM
CT-041-FS,Plateaux,SREM
DB-978-VW,Plateaux,SREM
CT-954-FR,Plateaux,SREM
637 AAM 51,F.M.   ZL,SREM
DR-694-BN,Plateaux,SREM
BE-950-JY,F.M.   ZL,SREM
175 ART 51,F.M.   ZL,SREM
DB-344-CV,Tautl.  ZC,TRR
DB-156-MY,F.M.   ZC,SREM
79 AKP 51,Plateaux,SREM
BR-820-GC,F.M.   ZL,SREM
DB-029-RT,Plateaux,SREM
CY-194-BD,Plateaux,SREM
CT-002-FS,Plateaux,SREM
217 AQD 51,Plateaux,SREM
DB-319-CV,Tautl.  ZC,TRR
CP-595-CZ,F.M.   ZC,FM
DB-133-VX,F.M.   ZC,FM
BW-277-HC,F.M.   ZC,FM
AV-540-JH,Benne céréalière,BEN
CH-942-GA,TAUT dédiée,SRTC
CH-062-GA,Tautl.  ZL,SRTC
CH-871-FZ,Tautl.  ZC,SRTC
CH-623-FZ,Tautl.  ZL,SRTC
CF-568-ZD,Tautl.  ZL,SREM
BW-816-CX,Navettes,TAUT
824 ZE 44,,BEN
BS-829-BE,TAUT double poste,SREM
BS-767-BE,TAUT double poste,FOUR
CB-103-HH,F.M.   ZC,FM
CA-223-KC,Frigo double poste,SREM
CA-384-KC,Inconnue,SREM
CA-750-CW,Tautl.  ZC,TAUT
CN-855-BX,Benne TP,SREM
CC-652-SM,Benne ZL,SREM
CC-683-SM,Benne TP,SREM
8984 RN 39,,BEN
2914 SW 88,Benne TP,BEN
BT-723-QM,Inconnue,BEN
BT-619-QM,Inconnue,BEN
CF-197-RM,Tautl.  ZC,PLSC
CG-352-ZR,Tautl.  ZC,SREM
CG-471-ZR,Tautl.  ZC,SREM
CG-281-ZR,Tautl.  ZC,SREM
CJ-155-RM,Tautl.  ZC,SREM
CG-527-ZR,Tautl.  ZL,SREM
CG-590-ZR,Tautl.  ZC,SREM
CJ-524-RM,Tautl.  ZC,SREM
CJ-042-RM,Tautl.  ZC,SREM
CN-848-AT,Tautl.  ZC,SREM
CC-909-CY,Tautl.  ZC,PLSC
DD-790-KH,Tautl.  ZC,SREM
CJ-133-RN,Tautl.  ZL,SREM
CN-027-YJ,Plateaux,TAUT
CG-638-ZR,Tautl.  ZC,SREM
CE-575-YR,Inconnue,TAUT
CH-230-EV,Tautl.  ZC,SREM
CZ-224-VN,Tautl.  ZC,SREM
CJ-290-RM,F.M.   ZC,SREM
CG-417-ZR,Tautl.  ZC,SREM
CY-183-MV,Plateau dédié,SREM
CY-117-MV,Plateau dédié,SREM
CN-495-JY,Citerne Pulvé,SREM
CQ-599-GZ,F.M.   ZC,SREM
988 APZ 57,Plateaux,PLAT
418 YC 57,Plateaux,PLAT
4771 YB 57,Plateaux,PLAT
339 AAZ 57,Plateaux,PLAT
AM-770-VA,Service général,TAUT
AM-548-AD,Service général,SREM
AM-477-VB,Service général,TAUT
BL-471-DD,F.M.   ZC,SREM
BQ-704-RK,Citerne PN,SREM
CG-553-RJ,TAUT double poste,SREM
CG-639-RJ,TAUT double poste,SREM
CG-002-NQ,Citerne PN,SRTC
CJ-015-BY,F.M.   ZC,SREM
CJ-331-BY,F.M.   ZC,SREM
DQ-713-LR,Affectation SA,SREM
CC-849-CZ,F.M.   ZL,SREM
BY-558-KH,Tautl.  ZC,TAUT
CB-046-QB,Tautl.  ZC,TAUT
XF1909,Plateaux,SREM
CC-273-KP,Service général,SREM
BY-991-KJ,Organisation dédiée,TAUT
AA-414-KA,Citerne PB,CIT
AA-473-KA,Citerne PB,SREM
CN-937-PR,TAUT double poste,SREM
7167 TG 88,Plateaux,TAUT
AV-379-JH,Citerne déchets,SREM
8938 VT 88,Inconnue,PLAT
CL-590-ER,Benne TP,BEN
CC-738-AT,Benne TP,SREM
CD-432-BZ,Tautl.  ZC,SREM
CD-003-CA,Tracteur Grue,SREM
AB-711-QV,Benne TP,SREM
AC-238-FR,,FRIG
AA-761-VW,Frigo,SREM
CX-604-NK,F.M.   ZC,FM
CX-556-NK,F.M.   ZC,FM
AB-437-MZ,Inconnue,SREM
AB-317-WW,Benne TP,SREM
XF1932,Plateau dédié,SREM
CQ-070-SP,TAUT double poste,SREM
BA-606-JP,F.M.   ZL,SREM
AP-434-PR,Benne ZL,SREM
4654 WB 62,Service général,SREM
4657 WB 62,Service général,SREM
DP-873-FQ,Service général,SREM
CM-791-QM,Service général,SREM
CM-916-QM,Plateaux,TAUT
CM-857-QM,Service général,SREM
AV-183-QW,Plateaux,TAUT
3803 WM 62,Service général,SREM
1316 VK 88,Service général,SREM
DJ-515-YD,Service général,TAUT
CB-378-ZE,Benne TP,BEN
AT-277-DM,F.M.   ZC,SREM
AT-886-DM,Service général,SREM
AT-470-DM,F.M.   ZC,SREM
AT-698-DM,F.M.   ZC,SREM
AQ-690-YG,Benne TP,SREM
AV-183-BT,Citerne PN,SREM
AV-264-BV,Citerne PN,SREM
AV-735-BK,Citerne PN,SREM
AV-558-FW,Benne TP,SREM
AT-591-NP,Benne céréalière,SREM
AN-942-TS,Benne TP,SREM
AZ-947-AD,Citerne déchets,SREM
3282 SV 88,Benne TP,BEN
AZ-521-NT,Benne TP,SREM
AN-784-GV,F.M.   ZC,SREM
AH-620-WS,Benne TP,BEN
BE-812-KQ,Benne TP,BEN
2908 SW 88,Benne 70,BEN
6380 RK 88,Benne TP,BEN
CP-322-WP,Inconnue,BEN
3282 SV 88,,BEN
CM-323-YL,Inconnue,TAUT
1078 TB 88,,BEN
1085 TB 88,Benne TP,BEN
CX-911-KH,Benne TP,BEN
BK-742-PE,Benne TP,BEN
CN-442-AD,TAUT dédiée,TAUT
9783 TD 88,,TAUT
CZ-300-VK,Inconnue,BEN
CC-911-TZ,Navettes,TAUT
BE-612-CV,Inconnue,SREM
AF-751-SV,F.M.   ZC,SREM
CM-350-YL,Benne TP,BEN
CE-575-YR,,TAUT
CP-619-WP,Inconnue,BEN
BZ-410-EP,Navettes,SREM
6404 TG 88,Tautl.  ZL,TAUT
DG-754-DA,Tautl.  ZC,SREM
CA-687-LL,Navettes,TAUT
AM-867-ER,Inconnue,TAUT
CA-751-LL,Navettes,TAUT
BZ-614-EP,Service général,SREM
CQ-729-NE,TAUT dédiée,SREM
CZ-183-HX,Inconnue,SREM
CM-336-YL,Benne TP,BEN
CZ-640-JR,F.M.   ZC,SREM
CP-541-WP,Inconnue,SREM
BZ-510-KV,Benne ferraille,SREM
CC-265-VA,Navettes,SREM
DB-256-CV,Tautl.  ZC,TRR
DB-337-CV,Tautl.  ZC,TRR
CD-592-BZ,Benne TP,BEN
CN-023-PT,Tautl.  ZC,TAUT
AR-897-YD,Service général,SREM
AN-590-ZZ,,FOUR
AR-492-YD,Service général,SREM
AR-579-VK,,TAUT
AZ-315-GB,Benne TP,SREM
AV-903-YH,Benne TP,SREM
BB-763-AN,TAUT dédiée,FOUR
CN-157-SW,Inconnue,SREM
CM-701-PZ,F.M.   ZC,SREM
CC-582-AT,Benne TP,SREM
BY-504-NL,F.M.   ZL,FM
BY-716-KH,Tautl.  ZC,TAUT
251 VN 88,Tautl.  ZL,TAUT
AD-835-WH,Tautl.  ZL,TAUT
AK-189-PL,Benne TP,BEN
AK-297-PL,Benne TP,SREM
AH-548-SD,F.M.   ZL,SREM
AK-513-CP,F.M.   ZC,FM
AK-428-CP,F.M.   ZC,FM
AK-416-PL,Inconnue,SREM
AK-303-NN,F.M.   ZC,SREM
BP-973-WB,,BEN
824 ZE 44,,BEN
AR-071-JS,,BEN
AR-852-JR,Benne TP,BEN
AP-271-PR,Benne TP,SREM
CF-689-ZG,Tautl.  ZC,SREM
2342 VN 51,,BEN
AV-340-YJ,Benne TP,SREM
CP-627-NN,Tautl.  ZC,PLAT
DA-563-VT,Inconnue,SREM
BB-397-DZ,Benne céréalière,SREM
CB-118-VB,Benne TP,SREM
DB-989-BS,F.M.   ZC,SREM
AT-608-MY,Service général,CTTE
DC-164-ZD,Tautl.  ZC,TRR
DC-172-ZD,F.M.   ZC,TRR
DC-178-ZD,Benne ferraille,TRR
DC-382-ZJ,Ampliroll,CAM
DD-894-AR,Plateaux,SREM
AH-675-LW,Inconnue,SREM
CX-618-NK,F.M.   ZC,FM
AM-060-AD,Inconnue,TAUT
AV-196-BS,Tautl.  ZL,SREM
BY-737-HG,Tautl.  ZL,SREM
CN-100-PS,Inconnue,BEN
DK-751-AF,Benne TP,SREM
AY-807-LH,Citerne pulvé double poste,SREM
AR-401-JR,F.M.   ZC,SREM
CH-734-ET,TAUT dédiée,SREM
5466 SR 88,Plateaux,PLAT
AV-118-VF,F.M.   ZC,FM
CB-521-VB,Benne TP,SREM
AA-164-KA,Benne TP,SREM
DH-838-RD,F.M.   ZC,SREM
DD-313-NF,F.M.   ZC,SREM
CP-765-CZ,F.M.   ZC,SREM
